ID,Nombre_Megacorp
1,Orion Holdings
2,Stellar Systems
3,Solaris Corp
4,Crimson Prime
5,Hyper Concord
6,Horizon Solutions
7,Eon Alliance
8,Solutions Group
9,Quantum Alliance
10,Horizon Prime
11,Giga Enterprises
12,Cyber Ventures
13,Nexus Networks
14,Cosmos Concord
15,Fusion Ventures
16,Luminary Concord
17,Concord Synthetics
18,Techno Prime
19,Zenith Concord
20,Horizon Group
21,Dyna Matrix
22,Stellar Enterprises
23,Cyber Enterprises
24,Zenith Alliance
25,Quantum Nexus
26,Aero Solutions
27,Prime Synthetics
28,Orion Nexus
29,Nano Dynamics
30,Nova Systems
31,Galactic Dynamics
32,Bio Nexus
33,Quantum Corp
34,Veridian Synthetics
35,Nexus Ventures
36,Infini Industries
37,Xeno Corp
38,Krypto Nexus
39,Fusion Global
40,Systems Synthetics
41,Techno Systems
42,Crimson Enterprises
43,Eon Enterprises
44,Apex Alliance
45,Omni Solutions
46,Hyper Enterprises
47,Eon Dynamics
48,Cosmos Networks
49,Syn Networks
50,Crimson Global
51,Stellar Concord
52,Horizon Systems
53,Enterprises Holdings
54,Galactic Nexus
55,Luminary Holdings
56,Elysian Alliance
57,Azure Matrix
58,Spectral Corp
59,Infini Networks
60,Omni Concord
61,Luminary Alliance
62,Orion Matrix
63,Nova Enterprises
64,Giga Group
65,Nexus Concord
66,Eon Prime
67,Galactic Matrix
68,Cyber Networks
69,Titan Networks
70,Prime Group
71,Azure Nexus
72,Titan Enterprises
73,Galactic Alliance
74,Industries Alliance
75,Bio Alliance
76,Quantum Matrix
77,Infini Group
78,Chrono Nexus
79,Crimson Concord
80,Innova Solutions
81,Stellar Holdings
82,Enterprises Networks
83,Eon Solutions
84,Eon Industries
85,Nexus Nexus
86,Bio Ventures
87,Dyna Networks
88,Eon Matrix
89,Crimson Alliance
90,Solaris Ventures
91,Krypto Networks
92,Innova Systems
93,Syn Prime
94,Chrono Solutions
95,Nova Matrix
96,Titan Industries
97,Cosmos Dynamics
98,Quantum Networks
99,Syn Synthetics
100,Xeno Matrix
101,Systems Alliance
102,Infini Dynamics
103,Eon Group
104,Titan Global
105,Quantum Systems
106,Mega Industries
107,Azure Industries
108,Systems Group
109,Apex Networks
110,Krypto Concord
111,Innova Holdings
112,Azure Ventures
113,Solaris Systems
114,Fusion Industries
115,Veridian Systems
116,Enterprises Synthetics
117,Apex Ventures
118,Infini Ventures
119,Elysian Ventures
120,Luminary Dynamics
121,Vanguard Concord
122,Nano Ventures
123,Techno Alliance
124,Veridian Ventures
125,Crimson Solutions
126,Titan Holdings
127,Nexus Corp
128,Krypto Systems
129,Astra Enterprises
130,Techno Dynamics
131,Nova Networks
132,Terra Corp
133,Galactic Networks
134,Dynamics Holdings
135,Orion Dynamics
136,Nano Solutions
137,Chrono Global
138,Xeno Systems
139,Ventures Synthetics
140,Chrono Systems
141,Concord Networks
142,Solaris Prime
143,Terra Industries
144,Titan Concord
145,Krypto Matrix
146,Matrix Alliance
147,Cosmos Alliance
148,Hyper Dynamics
149,Azure Synthetics
150,Chrono Enterprises
151,Chrono Ventures
152,Azure Corp
153,Horizon Ventures
154,Elysian Dynamics
155,Solaris Nexus
156,Zenith Holdings
157,Mega Networks
158,Hyper Solutions
159,Dyna Corp
160,Elysian Enterprises
161,Aero Global
162,Horizon Dynamics
163,Horizon Industries
164,Titan Prime
165,Stellar Dynamics
166,Zenith Group
167,Fusion Synthetics
168,Spectral Dynamics
169,Mega Matrix
170,Elysian Matrix
171,Chrono Holdings
172,Astra Synthetics
173,Hyper Industries
174,Hyper Group
175,Syn Ventures
176,Industries Group
177,Nano Group
178,Chrono Matrix
179,Techno Enterprises
180,Horizon Enterprises
181,Global Networks
182,Enterprises Alliance
183,Infini Concord
184,Enterprises Group
185,Orion Networks
186,Krypto Ventures
187,Bio Networks
188,Omni Corp
189,Horizon Synthetics
190,Cosmos Solutions
191,Veridian Alliance
192,Solutions Alliance
193,Cyber Group
194,Chrono Alliance
195,Vanguard Enterprises
196,Omni Synthetics
197,Spectral Group
198,Nano Nexus
199,Industries Synthetics
200,Azure Alliance
201,Nexus Global
202,Elysian Solutions
203,Vanguard Holdings
204,Dynamics Group
205,Dyna Industries
206,Orion Enterprises
207,Omni Industries
208,Mega Holdings
209,Hyper Synthetics
210,Spectral Synthetics
211,Nexus Alliance
212,Elysian Industries
213,Xeno Enterprises
214,Hyper Global
215,Astra Holdings
216,Spectral Industries
217,Solaris Concord
218,Nano Corp
219,Matrix Networks
220,Veridian Group
221,Corp Alliance
222,Veridian Dynamics
223,Titan Group
224,Stellar Ventures
225,Omni Holdings
226,Prime Holdings
227,Omni Enterprises
228,Cosmos Group
229,Zenith Networks
230,Matrix Holdings
231,Crimson Systems
232,Stellar Alliance
233,Stellar Industries
234,Cosmos Ventures
235,Innova Enterprises
236,Fusion Solutions
237,Global Synthetics
238,Mega Concord
239,Fusion Enterprises
240,Elysian Synthetics
241,Systems Networks
242,Terra Alliance
243,Ventures Networks
244,Techno Synthetics
245,Vanguard Prime
246,Galactic Global
247,Orion Ventures
248,Corp Group
249,Quantum Industries
250,Azure Dynamics
251,Stellar Corp
252,Orion Synthetics
253,Orion Solutions
254,Solutions Synthetics
255,Orion Industries
256,Concord Holdings
257,Nova Holdings
258,Zenith Ventures
259,Krypto Dynamics
260,Mega Group
261,Nano Holdings
262,Industries Networks
263,Dynamics Alliance
264,Innova Ventures
265,Terra Synthetics
266,Nexus Group
267,Xeno Holdings
268,Bio Enterprises
269,Terra Matrix
270,Hyper Corp
271,Crimson Matrix
272,Elysian Global
273,Stellar Global
274,Luminary Solutions
275,Solaris Alliance
276,Omni Networks
277,Apex Concord
278,Nova Group
279,Nova Synthetics
280,Innova Nexus
281,Vanguard Ventures
282,Omni Alliance
283,Vanguard Corp
284,Cyber Dynamics
285,Apex Nexus
286,Horizon Concord
287,Nano Alliance
288,Omni Dynamics
289,Cosmos Prime
290,Nano Concord
291,Nexus Dynamics
292,Xeno Dynamics
293,Galactic Group
294,Galactic Enterprises
295,Omni Group
296,Cosmos Systems
297,Astra Dynamics
298,Solaris Group
299,Infini Corp
300,Dynamics Networks
301,Solutions Holdings
302,Cyber Matrix
303,Syn Global
304,Luminary Global
305,Krypto Global
306,Luminary Networks
307,Zenith Industries
308,Concord Group
309,Concord Alliance
310,Syn Corp
311,Elysian Corp
312,Infini Prime
313,Zenith Matrix
314,Vanguard Industries
315,Luminary Prime
316,Xeno Prime
317,Apex Holdings
318,Giga Solutions
319,Ventures Group
320,Cosmos Enterprises
321,Bio Systems
322,Nano Enterprises
323,Astra Matrix
324,Veridian Corp
325,Krypto Industries
326,Techno Ventures
327,Infini Solutions
328,Spectral Prime
329,Fusion Nexus
330,Stellar Group
331,Nexus Holdings
332,Crimson Networks
333,Titan Synthetics
334,Techno Networks
335,Nova Nexus
336,Crimson Holdings
337,Matrix Synthetics
338,Global Group
339,Infini Global
340,Galactic Synthetics
341,Aero Holdings
342,Stellar Synthetics
343,Dyna Global
344,Apex Synthetics
345,Cosmos Nexus
346,Terra Group
347,Dyna Holdings
348,Innova Group
349,Innova Dynamics
350,Solutions Networks
351,Giga Ventures
352,Corp Holdings
353,Spectral Global
354,Infini Systems
355,Cosmos Synthetics
356,Aero Alliance
357,Luminary Group
358,Global Alliance
359,Stellar Nexus
360,Luminary Industries
361,Cyber Concord
362,Nexus Solutions
363,Innova Synthetics
364,Veridian Concord
365,Xeno Synthetics
366,Terra Solutions
367,Xeno Industries
368,Spectral Ventures
369,Quantum Global
370,Infini Alliance
371,Syn Group
372,Mega Nexus
373,Nexus Industries
374,Horizon Nexus
375,Innova Prime
376,Crimson Synthetics
377,Krypto Enterprises
378,Mega Dynamics
379,Cyber Global
380,Stellar Matrix
381,Quantum Holdings
382,Orion Systems
383,Mega Enterprises
384,Luminary Ventures
385,Solaris Enterprises
386,Innova Industries
387,Crimson Industries
388,Xeno Ventures
389,Omni Systems
390,Orion Global
391,Ventures Holdings
392,Infini Matrix
393,Galactic Systems
394,Titan Matrix
395,Crimson Ventures
396,Veridian Solutions
397,Titan Dynamics
398,Dyna Enterprises
399,Apex Prime
400,Quantum Ventures
401,Chrono Group
402,Spectral Solutions
403,Dyna Concord
404,Hyper Alliance
405,Orion Concord
406,Ventures Alliance
407,Titan Nexus
408,Horizon Global
409,Nexus Enterprises
410,Syn Nexus
411,Elysian Networks
412,Syn Systems
413,Chrono Industries
414,Eon Nexus
415,Crimson Corp
416,Xeno Networks
417,Aero Group
418,Nova Solutions
419,Bio Group
420,Corp Synthetics
421,Bio Matrix
422,Orion Prime
423,Giga Networks
424,Stellar Prime
425,Innova Matrix
426,Horizon Alliance
427,Mega Systems
428,Terra Global
429,Prime Networks
430,Syn Enterprises
431,Aero Synthetics
432,Syn Solutions
433,Horizon Matrix
434,Aero Ventures
435,Astra Prime
436,Xeno Group
437,Apex Industries
438,Systems Holdings
439,Bio Concord
440,Innova Concord
441,Veridian Prime
442,Nexus Matrix
443,Elysian Nexus
444,Industries Holdings
445,Crimson Nexus
446,Azure Group
447,Cyber Nexus
448,Apex Global
449,Corp Networks
450,Spectral Concord
451,Nexus Synthetics
452,Azure Networks
453,Vanguard Solutions
454,Dyna Alliance
455,Quantum Dynamics
456,Global Holdings
457,Fusion Networks
458,Techno Nexus
459,Orion Alliance
460,Xeno Concord
461,Veridian Matrix
462,Astra Group
463,Eon Networks
464,Matrix Group
465,Dynamics Synthetics
466,Titan Alliance
467,Giga Alliance
468,Prime Alliance
469,Galactic Holdings
470,Titan Corp